🚀 Starting Pi Monitor...
✅ Data pushed: {'timestamp': 1771357144079, 'cpu_temp': 43.0, 'cpu_usage': 5.3, 'memory_usage': 64.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357150454, 'cpu_temp': 43.0, 'cpu_usage': 5.5, 'memory_usage': 63.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357156753, 'cpu_temp': 44.1, 'cpu_usage': 12.1, 'memory_usage': 66.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357163155, 'cpu_temp': 42.5, 'cpu_usage': 30.4, 'memory_usage': 67.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357169457, 'cpu_temp': 44.6, 'cpu_usage': 13.6, 'memory_usage': 66.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357175779, 'cpu_temp': 43.5, 'cpu_usage': 5.6, 'memory_usage': 65.7, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357182077, 'cpu_temp': 41.4, 'cpu_usage': 7.0, 'memory_usage': 64.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357188378, 'cpu_temp': 43.0, 'cpu_usage': 4.0, 'memory_usage': 64.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357194793, 'cpu_temp': 42.5, 'cpu_usage': 3.5, 'memory_usage': 63.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357201099, 'cpu_temp': 41.9, 'cpu_usage': 4.0, 'memory_usage': 62.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357207410, 'cpu_temp': 43.0, 'cpu_usage': 3.8, 'memory_usage': 61.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357213762, 'cpu_temp': 43.0, 'cpu_usage': 4.3, 'memory_usage': 61.4, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357220096, 'cpu_temp': 42.5, 'cpu_usage': 5.0, 'memory_usage': 61.4, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357226422, 'cpu_temp': 41.9, 'cpu_usage': 4.5, 'memory_usage': 61.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357232831, 'cpu_temp': 42.5, 'cpu_usage': 3.5, 'memory_usage': 61.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357239227, 'cpu_temp': 41.9, 'cpu_usage': 4.3, 'memory_usage': 61.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357245547, 'cpu_temp': 41.4, 'cpu_usage': 5.5, 'memory_usage': 61.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357251884, 'cpu_temp': 41.9, 'cpu_usage': 8.3, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357258207, 'cpu_temp': 41.4, 'cpu_usage': 4.2, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357264541, 'cpu_temp': 43.0, 'cpu_usage': 3.8, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357270849, 'cpu_temp': 43.0, 'cpu_usage': 4.0, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357277187, 'cpu_temp': 42.5, 'cpu_usage': 6.7, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357283487, 'cpu_temp': 42.5, 'cpu_usage': 3.3, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357289797, 'cpu_temp': 41.9, 'cpu_usage': 4.5, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357296120, 'cpu_temp': 43.0, 'cpu_usage': 4.0, 'memory_usage': 61.1, 'disk_usage': 21.5}
